frame,id,class,speed,distance_m,risk_score,cx,cy,y2,in_zone
419,10,car,10.1489,3.89844,8,293,262,277,1
462,13,person,70.3695,3.5625,5,305,285,320,1
481,13,person,72.3577,3.52344,6.47656,291,291,325,1
487,15,person,9.34561,3.52344,6.14937,308,290,325,1
492,12,person,19.7853,2.74219,7.25781,339,330,425,1
499,13,person,61.303,3.54688,6.45312,289,288,322,1
542,13,person,30.2707,3.67188,6.32812,298,272,306,1
556,15,person,16.6188,3.65625,6.34375,303,274,308,1
559,13,person,47.4473,3.77344,6.22656,272,270,293,1
580,15,person,9.59176,3.60938,6.18651,272,277,314,1
580,13,person,30.3318,3.63281,6.36719,243,277,311,1
598,15,person,21.4752,3.59375,6.40625,254,279,316,1
607,13,person,42.717,3.66406,6.33594,216,277,307,1
625,13,person,9.42244,3.63281,6.07841,197,278,311,1
627,15,person,14.629,3.59375,6.40625,217,278,316,1
630,23,car,43.2958,3.66406,8,294,285,307,1
646,15,person,16.2372,3.71094,6.28906,205,272,301,1
649,13,person,9.1508,3.57031,6.00509,188,283,319,1
651,23,car,14.0494,3.6875,8,240,281,304,1
664,15,person,21.2373,3.71094,6.28906,220,281,301,1
673,13,person,26.802,3.39062,6.60938,209,305,342,1
682,15,person,18.5324,3.36719,6.63281,224,307,345,1
683,26,car,9.04219,3.66406,7.5211,181,287,307,1
695,13,person,9.88889,3.33594,6.60851,206,308,349,1
702,15,person,17.1395,3.35938,6.64062,219,307,346,1
717,13,person,8.85334,3.41406,6.01261,208,305,339,1
719,15,person,9.29763,3.32031,6.3285,223,309,351,1
722,24,person,34.4207,3.40625,5,167,292,340,1
756,13,person,34.5408,3.34375,6.65625,311,318,348,1
761,24,person,35.0785,3.17188,6.82812,303,308,370,1
780,24,person,61.0468,2.72656,7.27344,259,343,427,1
814,13,car,69.5881,3.20312,8,311,342,366,1
826,36,car,41.6459,2.95312,8,324,351,398,1
832,13,car,66.4547,3.41406,8,176,313,339,1
845,36,car,9.43475,3.00781,9.70956,254,346,391,1
863,36,car,13.6771,2.89844,8,261,355,405,1
868,36,car,21.9305,2.84375,10.1562,270,361,412,1
874,40,car,16.3082,3.3125,8,217,331,352,1
879,36,car,17.164,2.67969,10.3203,297,377,433,1
882,36,car,33.1413,2.64062,8,302,380,438,1
888,36,car,19.6287,2.57031,10.4297,310,386,447,1
895,36,car,65.3017,2.54688,10.4531,333,390,450,1
900,40,car,17.24,3.25,8,193,337,360,1
929,40,car,18.9572,3.26562,8,204,332,358,1
948,40,car,19.805,3.49219,9.50781,171,301,329,1
